*,姓交,sing3 gaau1
,士域祇,
,盛享,
1,一箸菜,jat1 zyu6 coi3
1,見聞有限,gin3 man4 jau5 haan6
,亨梓,
,望景茶座,
,火饠瀡,
,妙君,
,炕牀,kong3 cong2
,扣不到,
,金洋音像,
,新深河,
,銷鑠,siu1 soek3
,留題,lau4 tai4
,宜黃縣,ji4 wong4 jyun6
1,我咪就係,
1,駐留時間,zyu3 lau4 si4 gaan3
,景田建材,
,瑋瑋鞋業,
,鶴咀灣,
,蠔頭崗,
,涇縣,ging1 jyun6
,華美通信,
,融爐,jung4 lou4
,忠記面家,
1,倒屎塔,dou2 si2 taap3
,明途電腦,
1,半拍,
,滕記麪食,
,回描,wui4 miu4
1,綜合指標,
1,修行人,sau1 hang6 jan4
,大梅山,
,雙臺子區,soeng1 toi4 zi2 keoi1
,添記美食,
1,模擬信號,mou4 ji5 seon3 hou6
1,雞糟,gai1 zou1
,茅箭,maau4 zin3
,寶裕,
,偉聯,
,悅輝,
,站前街辦,
1,唧唧嘎嘎,zik1 zik1 gaa1 gaa1
,跑酷,paau2 huk6
1,側側搏,
,大別山,daai6 bit6 saan1
,豬坌鼻,zyu1 ban6 bei6
,龍田面,
,遼中,liu4 zung1
,雅景渡假,
,拙荊,zyut3 ging1
1,爽呢,song2 ne1
,潤海士多,
,珞巴族,lok3 baa1 zuk6
,多米諾,do1 mai5 nok6
,迂滯,jyu1 zai6
,星河錦居,
,黐湆,ci1 nap6
,削膊,soek3 bok3
,石林縣,sek6 lam4 jyun6
1,宕機,dong6 gei1
1,請知悉,
,不拉幾,bat1 laai1 gei2
,西部證券,
,把口花花,
,游龍海鮮,
1,溼𨳊仔,sap1 gau1 zai2
1,問下啫,man6 haa5 ze1
1,北鷹鵑,bak1 jing1 gyun1
,勝輝美食,
,宏遠地產,
,養君堂,
1,黑冠山雀,hak1 gun3 saan1 zoek3
,譚才記,
,吃不服,hek3 bat1 fuk6
,嘉雲,
,坪墩,
,熨燙,wan6 tong3
,電磁軌砲,din6 ci4 gwai2 paau3
,杭鋼富春,
1,敢作敢爲,gam2 zok3 gam2 wai4
,預提,jyu6 tai4
,怡滿閣,
,三公消費,saam1 gung1 siu1 fai3
,俏皮豬,
,和安糧油,
,役齡,jik6 ling4
,雙城子,soeng1 sing4 zi2
,億順,
,燒可絲,
,前味美食,
1,光棖棖,gwong1 caang4 caang4
,病病殃殃,beng6 beng6 joeng1 joeng1
,迎安租車,
,佳銀紡織,
,丫洲,
,譽山銀座,
,勘定,ham3 ding6
,芸苔屬,wan4 toi4 suk6
,蘭舟,laan4 zau1
,盲音,maang4 jam1
,聯運票,lyun4 wan6 piu3
,輕鬆美食,
,潛熱,cim4 jit6
1,百歲老人,baak3 seoi3 lou5 jan4
,掛冠求去,gwaa3 gun1 kau4 heoi3
,茶母,
,鬆崗出口,
,明朗眼鏡,
,華穗路口,
,美評值,
,斯文倓定,si1 man4 daam6 ding6
,替角,tai3 gok3
,疊翠,
1,俯仰無愧,fu2 joeng5 mou4 kwai3
1,降低利率,gong3 dai1 lei6 leot2
,歸省,gwai1 sing2
,袒縛,taan2 bok3
,歐登咖啡,
,上把位,soeng6 baa2 wai2
,豆科植物,dau6 fo1 zik6 mat6
,傳送流,
,馬鞍徑,
,坡肚,
1,銀獅獎,ngan4 si1 zoeng2
,實穩去,sat6 wan2 heoi3
,芝罘區,zi1 fau4 keoi1
,坐幾籠,co5 gei2 lung4
1,蠢驢,ceon2 leoi4
,定點企業,ding6 dim2 kei5 jip6
1,好多節目,
,得意居,
,生城地產,
,賊亮,caak6 loeng6
1,用慣咗,
,藏著,
,天地和,
1,男婚女嫁,naam4 fan1 neoi5 gaa3
1,紥嘢,
,體波,
,石路頭,
,史蒂夫,si2 dai3 fu1
,萬仕友,
1,刻骨相思,hak1 gwat1 soeng1 si1
,雙御雅軒,
,耀隆彩印,
,盈科源,
,德道飲食,
1,追本窮源,zeoi1 bun2 kung4 jyun4
,白碑,baak6 bei1
,粒嗲,nap1 de1
,金澤通訊,
1,藥材鋪,joek6 coi4 pou2
,措置裕如,cou3 zi3 jyu6 jyu4
,布須曼人,bou3 seoi1 maan6 jan4
,湘西山寨,
,思維雅,
,豐裕閣,
,聯華紡織,
,中深石化,
,樂思美食,
,安美名門,
,油塘裏,
,瘡痂,cong1 gaa1
