1,鹼基配對,gaan2 gei1 pui3 deoi3
,羽莖,jyu5 ging3
,光祿勳,gwong1 luk6 fan1
,發藝風格,
,茶聚軒,
,德龍寶,
,興安租車,
,鬆元廈,
,一品食府,
,丹竹頭,
1,撚頸,
1,把鬼火,baa2 gwai2 fo2
1,印臺,jan3 toi4
,老隆,
1,互文,wu6 man4
,匯融拍賣,
1,穫得,
,依思熳,
,求山水,
,佳都國際,
1,主觀主義,zyu2 gun1 zyu2 ji6
,環洋鞋業,
,精功眼鏡,
,檀君,taan4 gwan1
,代利斯,doi6 lei6 si1
,平深,
,南港輪胎,
1,舊俗,gau6 zuk6
,潔宜日化,
,華藝複印,
,雪都食府,
,僑務工作,
,華海貨倉,
1,脫空,tyut3 hung1
,方腳蘇,fong1 goek3 sou1
,沙欄仔裏,
1,淨係準,
,頌和,
,妍麗,jin4 lai6
,米崗,
,微八,
,聯產到勞,lyun4 caan2 dou3 lou4
,霧幔,mou6 maan6
,寶光眼鏡,
1,濺開,zin3 hoi1
,鑫藝裝飾,
1,溜圓,lau6 jyun4
,聖人大座,
,乘隙,sing4 gwik1
1,夾定計仔,
,中坡電器,
,億通搬遷,
,觀瀾了,
,安龍,on1 lung4
,博雅藝術,
,三羣兩隊,
,卷帙,gyun2 dit6
,園嶺路口,
,侯小姐,
,同榮裏,
,媚之坊,
,膠紙袋,gaau1 zi2 doi2
,寶陽閣,
1,試衣間,si3 ji1 gaan1
,興富閣,
,拿大,naa4 daai6
,白海,baak6 hoi2
,玉緣居,
,佳宏鞋業,
,每家居,
1,管理接口,gun2 lei5 zip3 hau2
,賢富,
,中繼器,zung1 gai3 hei3
,指甲剪,zi2 gaap3 zin2
,白沙坡,
,茂達,
1,佛廟,fat6 miu6
,汗溪,
1,蛇仔糖,se4 zai2 tong2
,湛記傢俬,
1,省外經委,
,散轉,
,韋瓦第,wai4 ngaa5 dai6
1,玩耐,waan2 noi6
1,甘肅柳鶯,gam1 suk1 lau5 ang1
,押沙龍,aat3 saa1 lung4
1,食咗屎,sik6 zo2 si2
,合陽,hap6 joeng4
,海珠石溪,
1,好事嚟,
1,𠜱薯仔,
1,青囊,cing1 nong4
,百信皮具,
,創業立交,
,下檻,haa6 laam6
,爛煙癮,
,漢威臺,
,華苑潮州,
1,武又唔得,
,崗後底,
,印度襖,jan3 dou6 ou2
,姓鍾圍,
,流星體,lau4 sing1 tai2
,鬥嘥,dau3 saai1
,萬豪居,
1,防火布,fong4 fo2 bou3
1,石英鐘,sek6 jing1 zung1
,菜旺石材,
,點軍,dim2 gwan1
,創興美食,
,中興集團,
1,接觸器,zip3 zuk1 hei3
1,扒釘,paa4 deng1
1,狗棍,gau2 gwan3
,騸牯牛,sin3 gu2 ngau4
,西區商業,
,爲害,wai4 hoi6
,小當嘜,
,核計,hat6 gai3
,茶滘公寓,
,港盛閣,
,香江海鮮,
,骨髓腔,gwat1 seoi5 hong1
,西墩,
,湘川千味,
,雪山麪點,
,萊姆酒,loi4 mou5 zau2
,康惠醫療,
,康鬆閣,
,青菜崗,
,骨肥厚,gwat1 fei4 hau5
,展笙,
,瀾滄縣,laan4 cong1 jyun6
1,力有未逮,lik6 jau5 mei6 dai6
,標線,biu1 sin3
,袒裼,taan2 sik3
1,廿幾歲人,
1,講咩啊,
,龍印鞋業,
,興華沐足,
1,波濤粼粼,bo1 tou4 leon4 leon4
,永達物流,
,拉姨,
,黔西,kim4 sai1
,鹽膚木,jim4 fu1 muk6
1,好似發燒,
,捷豐集團,
1,照板煮糊,ziu3 baan2 zyu2 wu2
1,結存額,git3 cyun4 ngaak6
1,冇句真,
,西港都會,
,寶華珠寶,
1,四處活動,
,旺向通訊,
1,爆出去,
,罄身,hing3 san1
1,退養,
,調制波,tiu4 zai3 bo1
1,球狀物,kau4 zong6 mat6
1,過兩手,
1,上等兵,soeng6 dang2 bing1
,篡賊,saan3 caak6
1,牽強附會,hin1 koeng5 fu6 wui6
1,優良作風,
,萬隆通訊,
,羊先生,
,南秀湖,
1,淳厚,seon4 hau5
1,投井,tau4 zing2
1,石匠,sek6 zoeng6
,榭裏廣告,
1,草原肥羊,
1,氣像人員,hei3 zoeng6 jan4 jyun4
,穗達,
1,茲因,zi1 jan1
,豪望萊,
1,陽光女孩,
1,黑喉岩鷚,hak1 hau4 ngaam4 lau6
,淳風仙觀,
1,凍冰冰噉,
,錦基閣,
1,蠕動前進,jyu4 dung6 cin4 zeon3
1,年年如此,
,千明眼鏡,
1,正當時,zing3 dong1 si4
,挨呲兒,ngaai4 zi1 ji4
1,畀到正,
,兜下爬,dau1 haa6 paa4
,牛徑,
1,週薪,zau1 san1
,七畝,
,潮一順,
1,書檔,syu1 dong3
,倚瀾,
1,漸慢,zim6 maan6
,胭脂魚,jin1 zi1 jyu2
,蝳蝐,doi6 mou6
,西域食府,
,湛江地區,zaam3 gong1 dei6 keoi1
1,搵人出氣,wan2 jan4 ceot1 hei3
,金合益,
,簿籍,bou6 zik6
,種美咖啡,
1,棄若敝屣,hei3 joek6 bai6 saai2
1,賊頭賊腦,caak6 tau4 caak6 nou5
,鑫發皮具,
,僑樂閣,
,骨碌碌,gwat1 luk1 luk1
,華山閣,
,養花,joeng5 faa1
,溫馨布藝,
,裕龍,
,國泰裏,
1,類函數,
,堅達士多,
,芳村圍,
,金輝煌,
1,拙見,zyut3 gin3
1,嫌貧愛富,jim4 pan4 oi3 fu3
,城建集團,
,富裕地產,
,大靈山,
,萊菔子,loi4 fuk6 zi2
,吉一電子,
,恆光冷氣,
,健龍服飾,
1,初等代數,co1 dang2 doi6 sou3
