word,jyutping
月曜日,jyut6 jiu6 jat6
金明區,gam1 ming4 keoi1
猶達斯,jau4 daat6 si1
瞅著,
桑棗,song1 zou2
都快啦,
精讀課,zing1 duk6 fo3
打哆嗦,daa2 do1 so1
用心險惡,
忘其所以,mong4 kei4 so2 ji5
闃寂,gwik1 zik6
省鑊金,
統艙,tung2 cong1
眷註,gyun3 zyu3
手打字機,sau2 daa2 zi6 gei1
網編,mong5 pin1
繃子,bang1 zi2
勃利縣,but6 lei6 jyun6
偷跑,tau1 paau2
聲速,sing1 cuk1
計仔多多,
喺呢一刻,
踢曬腳,
東歐平原,dung1 au1 ping4 jyun4
除襪,
安乃近,on1 naai5 gan6
定海區,ding6 hoi2 keoi1
嶄齊,zaam2 cai4
磨砂殼,
費得拿,
出把戲,ceot1 baa2 hei3
你喺邊啊,
時事知識,
花坪,
我有事啊,
半開門,bun3 hoi1 mun4
覘高個頭,daam1 gou1 go3 tau4
喺啵,
我就知,
朱儁,zyu1 zeon3
死得佢,
信佢一成,
設計說明,
好迷惘,
肇事人,
夠姜,
簧風琴,wong4 fung1 kam4
燒過河衣,siu1 gwo3 ho4 ji1
爵祿,zoek3 luk6
平均指標,
跳頁,
咩原因啊,
耄耋之年,mou6 dit6 zi1 nin4
待要,doi6 jiu3
夤緣,jan4 jyun4
飛機着火,
冇咗女人,
圖畫書,tou4 waa2 syu1
林縣,lam4 jyun6
神推鬼拱,san4 teoi1 gwai2 gung2
四號果坊,
鳩鳩哋,
閩清,man5 cing1
臆造,jik1 zou6
爲德不卒,wai4 dak1 bat1 zeot1
望謨縣,mong6 mou4 jyun6
哽唔落,
勺雞,zoek3 gai1
找換鋪,zaau2 wun6 pou3
五日談,
磁芯,
桂東縣,gwai3 dung1 jyun6
淑世,suk6 sai3
淮濱縣,waai4 ban1 jyun6
馬服君,maa5 fuk6 gwan1
假日士多,
防潮堤,fong4 ciu4 tai4
桐梓,tung4 zi2
無𨳊用,
你唔繫好,
順河區,seon6 ho4 keoi1
我表哥話,
改換門閭,goi2 wun6 mun4 leoi4
鬥下氣,
食菸,sik6 jin1
昨兒,zok3 ji4
雙生女,soeng1 sang1 neoi5
窮寇,kung4 kau3
鉛筆刀,jyun4 bat1 dou1
私售,si1 sau6
之唔係囉,
日南郡,jat6 naam4 gwan6
捲帘門,gyun2 lim4 mun4
鐐鎖,liu4 so2
良種繁育,loeng4 zung2 faan4 juk6
秦琴,ceon4 kam4
我哋走啦,
儃酒,taan3 zau2
荔浦縣,lai6 pou2 jyun6
翹板,kiu4 baan2
相罵,
洛川縣,lok3 cyun1 jyun6
戳禍,coek3 wo6
閹然,jim1 jin4
白城地區,baak6 sing4 dei6 keoi1
電吹風,din6 ceoi1 fung1
殲擊機,cim1 gik1 gei1
李祝,lei5 zuk1
星子縣,sing1 zi2 jyun6
重點專案,
立邦漆,
對面鋪,
馬叉,
憤富,fan5 fu3
搞掂未,
房縣,fong4 jyun6
褒忠鄉,bou1 zung1 hoeng1
兒化韻,ji4 faa3 wan5
劇挫,kek6 co3
喪荒,song3 fong1
麥菜,
方山縣,fong1 saan1 jyun6
武寧縣,mou5 ning4 jyun6
投袂而起,tau4 mai6 ji4 hei2
打著盹,
搓老泥,
聲像,sing1 zoeng6
品質工業,
蕭然,siu1 jin4
相術,soeng1 seot6
檵花,gai3 faa1
物力維艱,mat6 lik6 wai4 gaan1
吉普斯夸,gat1 pou2 si1 kwaa1
長揖,coeng4 jap1
巴渝人,
週年旺相,zau1 nin4 wong6 soeng3
點冥,
籌子,cau4 zi2
切向量,cit3 hoeng3 loeng6
傳粉,cyun4 fan2
飄書,piu1 syu1
畀天收,
幾點食,
串串槓,
講咗咩,
剛玉,gong1 juk6
戎馬生涯,jung4 maa5 sang1 ngaai4
宜陽,ji4 joeng4
盤錢,pun4 cin2
鑽壓,zyun3 aat3
有例在先,jau5 lai6 zoi6 sin1
橫斷物,waang4 dyun6 mat6
全身溼晒,
盼頭,paan3 tau4
健康源,
截死,
寒山寺,hon4 saan1 zi2
向慕,hoeng3 mou6
黃格仔,wong4 gaak3 zai2
蠟板,laap6 baan2
滅茬,mit6 caa4
師傅誕,si1 fu2 daan3
銳化,jeoi6 faa3
艾蒿,ngaai6 hou1
週期律,zau1 kei4 leot6
臘腸卷,laap6 coeng2 gyun2
港大才女,
磁縣,ci4 jyun6
青旅,cing1 leoi5
僭主,cim3 zyu2
大氅,daai6 cong2
壁壘一新,bik1 leoi5 jat1 san1
經驗總結,
雅潔,ngaa5 git3
抃悅,bin6 jyut6
夜啦,
豪堵,
割棄,got3 hei3
門戌,mun4 seot1
興安運河,hing1 on1 wan6 ho4
萬源,maan6 jyun4
周身唔妥,
紅牛皮菜,hung4 ngau4 pei4 coi3
鹵屬,lou5 suk6
拳擊總會,
老兒,lou5 ji4
激活咗,
日郵貨運,
重新長大,
分櫱,fan1 jit6
烏喱馬紁,wu1 lei1 maa5 caa5
南潯區,naam4 cam4 keoi1
含商咀徵,ham4 soeng1 zeoi2 zing1
織卒,zik1 zeot1
挖浚,waat3 zeon3
長蛇陣,coeng4 se4 zan6
溪上,
擤甩邊髀,sang3 lat1 bin1 bei2
凸摺線,dat6 zip3 sin3
冇嚟搭訕,
你都喺姐,
先停咗,
口頭語,hau2 tau4 jyu5
傳動帶,cyun4 dung6 daai2
苯丙氨酸,bun2 bing2 on1 syun1
記傳,gei3 zyun6
討究,tou2 gau3
門頭溝,mun4 tau4 kau1
五使驚架,
孤山,gu1 saan1
蟬科,sim4 fo1
葵盛西,
安抵,on1 dai2
藞䕢,laa5 zaa2
甾醇,zoi1 seon4
睇住睇住,
