char,jp
係噉啦,
維管,wai4 gun2
全碼,
下連珠,
恣情,zi3 cing4
野餐墊,je5 caan1 zin3
雞腎嶺,
戰馬廣告,
康正電器,
遠揚電腦,
戶口簿,wu6 hau2 bou2
祐福,
黛雪兒,
福豪門,
廣聚服飾,
本流發藝,
細鬼,sai3 gwai2
元氣生活,
常溫常壓,soeng4 wan1 soeng4 aat3
老友物語,
南四路口,
變換羣,bin3 wun6 kwan4
支諧簼蛪,
掠賣,loek6 maai6
貨物運輸,fo3 mat6 wan6 syu1
東怡,
宇興通訊,
阿美恩斯,aa3 mei5 jan1 si1
一南通信,
西洲油庫,
韻緻,wan5 zi3
盟源投資,
慘兮兮,caam2 hai4 hai4
日濤姐,
聒耳,kut3 ji5
可馨花坊,
親如手足,can1 jyu4 sau2 zuk1
劉平華,
丈八和尚,
竈臺,
富士商工,
一號閘門,
做寂寞,
觀海閣,
駿騰車會,
百利佳,
溜溜奶茶,
豪嘉基,
法國帝蓮,
一念之仁,
頭朝下,tau4 ciu4 haa6
荻西妮,
南冰洋,naam4 bing1 joeng4
雉鷄,
故香餅家,
外貿時尚,
聚榮東,
拔屎,
管窺所及,gun2 kwai1 so2 kap6
竣富地產,
葉田,
佢好眼利,
散話,saan2 waa6
靖夫鞋業,
劇挫,kek6 co3
雯藝廣告,
長垣,coeng4 wun4
天然保健,
仁棯,ngan4 nim1
雅鳴軒,
逆喻,jik6 jyu6
老坎火鍋,
壓寶,aat3 bou2
賽特利,
天天士多,
野狐禪,je5 wu4 sim4
鎗手,coeng1 sau2
湘味美食,
賴田,
請人飲茶,ceng2 jan4 jam2 caa4
我在沙井,
阿拉斯,aa3 laai1 si1
佳美樂,
腍滋滋,nam4 zi4 zi4
西北人家,
鴨叫,aap3 giu3
阿孻,aa3 laai1
忠誠通訊,
心思皮具,
岱山縣,doi6 saan1 jyun6
漕運,cou4 wan6
軋鋼機,zaat3 gong3 gei1
幾時系,
藩屬,faan4 suk6
金利電信,
服飾天地,
茸茸爛,jung4 jung4 laan6
二正丙醚,ji6 zing3 bing2 mai4
蚊蟲叮咬,man1 cung4 ding1 ngaau5
富民傢俬,
六枝特區,luk6 zi1 dak6 keoi1
搞錢,gaau2 cin2
遵辦,zeon1 baan6
範如記,
𤗈入去,sip3 jap6 heoi3
你唔去衙,
呢回,
擁人,ung2 jan4
盈鴻帽業,
又揀擇,
向左拐,hoeng3 zo2 gwaai2
昭信,
恐怖行動,
僵臥,goeng1 ngo6
益夢,
崇富,
妙文,
場北區,
青崗嶺,
塘蝞,tong4 mei1
家美傢俬,
凱捷鞋業,
雅賢閣,
都龐嶺,dou1 pong4 ling5
和平特使,wo4 ping4 dak6 si3
佳豐,
漆鹹圍,
朗鬆居,
謗讟,pong3 duk6
師大後門,
大德燉品,
付排,fu6 paai4
龍堡國際,
禪位,sin6 wai6
魚死網破,jyu4 sei2 mong5 po3
威達五金,
藍鳥咖啡,
森美海外,
樂東縣,lok6 dung1 jyun6
眼眉跳,ngaan5 mei4 tiu4
交吉賣,
模因,mou4 jan1
你咁嚤㗎,
跛手,bai1 sau2
芙蓉警區,
諫諍,gaan3 zaang3
海灣控股,
推斥,teoi1 cik1
頤潤燉坊,
矇茶茶,mung4 caa4 caa4
虹橋物流,
階磚仔,gaai1 zyun1 zai2
互評,
金御閣,
尚東美御,
寶燭,bou2 zuk1
越河置業,
窮酸相,kung4 syun1 soeng3
彩德邨,
劉冬菊,
杏花嶺,hang6 faa1 ling5
